1:archives,archive,books,book,list,read,bestselling,articles,cookbook,benefit,photo ,cover,picture,history,cookbook,reads,info,news,check,collection,booklist,article,peek,edition,essay,essays,guide,document,documents,readers,resource,resources,,,,,,,,,,,,,,,
2:readinglist,school,excited,encourage,happy,love,wisdom,enjoyed,parents,favourite,readeverywhere,learning,kids,favourite,blog,http,show,lovely,exciting,movie,movies,film,films,myths,ideas,popular,think,thinking,look,oscar,oscars,,,,,,,,,,,,,,,,
3:join,celebration,libraries,opening,program,party ,creative,story,questions,today,community,art,family,summer,spring,fun,celebrate,creative,club,check,questions,story,joined,meet,meeting,participate,communities,celebrating,enjoy,thanks,thank you,ready,open,congratulations,award,publishers,congrats,,,,,,,,,,
4:public,librarian,visit,staff,branch,exhibit,welcome,opening,event,program,food,library,friends,park,explore,events,webinar,hosted,host,hosting,activities,exhibitions,offers,offer,workshop,librarians,music,reminder,tomorrow,campaign,tonight ,day,update,week,newsletter,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,subscribe,alert,working,upcoming,watch
